Year,India,Pakistan
1960,83.0351018240893,81.5869472962009
1961,85.9697041851008,87.5173724745356
1962,90.2768689288905,89.4933355376524
1963,101.31516498136,93.883886249529
1964,115.487608356699,102.961207229136
1965,119.082475942029,114.372018643314
1966,89.7575826115815,123.330470854894
1967,96.0463298450023,136.638092510909
1968,99.5168361228774,143.287946280962
1969,107.182143141928,150.547804055257
1970,111.968318177372,169.124000230778
1971,118.160528911908,175.198919999176
1972,122.612453445976,150.61721129504
1973,143.456124984427,99.2979315283758
1974,163.231615579564,134.532180127492
1975,157.929385028241,164.848095842385
1976,161.137236080759,187.496906570355
1977,186.419089544981,208.776120199417
1978,206.073749258556,238.155832543428
1979,224.575437698719,254.347760613349
1980,267.390578652535,293.3918897736
1981,271.426149209154,333.45839209696
1982,275.266085855139,349.841762254772
1983,292.644647182024,315.017265891048
1984,278.095415220662,331.388765820642
1985,297.999248705447,320.679810021232
1986,312.059843942513,317.02979833839
1987,342.071923724964,319.915391915237
1988,355.738409768732,356.335215384388
1989,347.462029998068,359.72926859058
1990,368.749759408129,346.668515520908
1991,303.850437957407,382.751431546522
1992,317.558738700794,399.465580740566
1993,301.50079120851,412.675398322459
1994,346.227393115934,404.606867366467
1995,373.628235651141,455.507973154417
1996,399.577312178982,461.400209497922
1997,414.898679748919,441.754917706501
1998,412.509354123275,427.506327495099
1999,440.961454614021,420.682610613286
2000,442.034778911498,644.457156981743
2001,449.911124933268,610.143231600736
2002,468.844428308942,599.789410758775
2003,543.843798895899,673.382966037094
2004,624.105094381691,774.785335734991
2005,710.509344848758,832.751137517234
2006,802.013742049265,909.032403273312
2007,1022.73246704551,1012.18279419002
2008,993.503405266506,1087.51477702611
2009,1096.63613605519,985.349300762774
2010,1350.63447029491,1011.59718017727
2011,1449.60330101563,1161.04432084751
2012,1434.01798721629,1236.89276298823
2013,1438.05700508042,1259.66836828623
2014,1559.86377870535,1303.18536985282
2015,1590.17433135955,1421.83527830089
2016,1714.27953740039,1468.82208238833
2017,1957.96981329558,1567.6406123353
2018,1974.3777314935,1620.74259148331
2019,2050.1638002619,1437.1658330724
2020,1913.21973278751,1322.31478539554
2021,2238.12714218765,1506.10829305917
2022,2410.88802070689,1588.8798287911
